PUBID,CENDIV,PBA,SQFT,WKHRS,WKHRSC,FINALWT
00001,4,26,2400,16,2,1559.8286174
00002,5,23,114000,72,5,143.94634909
00003,1,15,2550,40,3,1851.6697201
00004,7,18,500000,168,7,17.191258213
00005,7,02,30000,65,5,273.99706838
00006,5,06,1800,105,6,1807.4628666
00007,7,16,800000,168,7,2.8602521713
00008,7,01,1400,0,1,777.87987978
00009,7,02,37500,68,5,653.84310688
00010,5,02,600000,72,5,23.251171658
00011,8,02,10250,65,5,1031.3463294
00012,6,15,6200,96,6,953.18777657
00013,5,26,7000,50,4,1117.7421223
00014,5,26,7000,72,5,810.40542332
00015,7,14,370000,50,4,90.622000825
00016,4,14,104000,50,4,139.16995492
00017,3,13,1200,30,2,2396.7342053
00018,7,02,6000,48,3,1451.6174232
00019,1,04,78000,168,7,124.45202455
00020,4,02,71000,60,4,360.21806967
00021,8,13,67000,84,5,274.454839
00022,6,02,2350,40,3,1791.3103533
00023,5,13,30000,77,5,1023.6082023
00024,8,16,158000,168,7,9.2846065541
00025,9,05,12500,45,3,1130.4747375
00026,4,08,5600,55,4,1559.8286174
00027,8,25,4800,168,7,1667.7551609
00028,5,02,395000,66,5,48.841044419
00029,1,16,250000,168,7,9.2846065541
00030,9,14,41500,45,3,311.1344891
00031,3,16,1400000,168,7,9.8042007776
00032,5,25,3000,54,4,1807.4628666
00033,7,23,8300,168,7,1879.4560061
00034,1,12,19000,20,2,647.9871845
00035,6,14,81000,45,3,242.08690218
00036,8,02,90000,72,5,48.841044419
00037,3,13,5000,63,5,953.18777657
00038,3,91,9600,50,4,1791.3103533
00039,7,01,6000,0,1,777.87987978
00040,3,18,130000,168,7,15.945623796
00041,6,07,5000,168,7,1779.4119781
00042,3,25,11250,49,4,1069.3275783
00043,2,06,92000,168,7,226.49614223
00044,5,02,150000,60,4,24.435334858
00045,9,05,20000,40,3,227.79159189
00046,5,12,5000,18,2,1879.4560061
00047,7,16,142000,168,7,9.2846065541
00048,8,25,16250,108,6,1031.3463294
00049,5,15,8500,98,6,880.78346233
00050,7,02,3800,60,4,1879.4560061
00051,8,02,166000,60,4,50.31915606
00052,3,05,190000,50,4,75.11828904
00053,5,15,2850,168,7,810.40542332
00054,5,16,300000,168,7,9.2846065541
00055,9,12,10500,12,2,1667.7551609
00056,9,14,49500,40,3,311.1344891
00057,7,01,2100,0,1,1807.4628666
00058,2,05,39500,40,3,647.9871845
00059,3,13,64000,112,6,1155.42801
00060,2,25,4000,46,3,1145.0798138
00061,3,25,10750,65,5,657.71092576
00062,7,14,1550,40,3,1849.1849629
00063,9,05,53000,168,7,21.826150392
00064,1,13,15250,80,5,1868.403437
00065,9,06,2950,105,6,1655.242098
00066,5,26,7200,50,4,1807.4628666
00067,7,14,21000,40,3,1117.7421223
00068,3,12,29500,20,2,63.073938349
00069,5,02,16500,45,3,1117.7421223
00070,9,13,5200,50,4,1828.0523467
00071,9,14,1450,60,4,1849.1849629
00072,1,16,54000,168,7,19.690263031
00073,5,05,600000,46,3,31.847187548
00074,6,16,350000,168,7,13.28083229
00075,4,05,1200,5,2,1484.5150471
00076,2,02,1000000,168,7,15.945623796
00077,8,01,2100,40,3,1461.8570616
00078,4,05,2400,168,7,1197.3864068
00079,7,05,900000,168,7,62.703017691
00080,4,02,800000,60,4,25.322576596
00081,3,14,48000,90,6,239.38538189
00082,3,02,295000,90,6,86.870506742
00083,9,02,84000,72,5,74.844960294
00084,9,15,1600,84,5,887.44188343
00085,5,26,7700,45,3,583.35116997
00086,2,25,28000,105,6,1145.0798138
00087,9,02,6300,40,3,440.0460563
00088,5,01,7400,0,1,751.72654486
00089,5,15,3850,85,6,961.78281331
